context_length,batch_size,bptt,amp,tokens_processed,effective_throughput_tokens_per_s,wall_time_s,peak_memory_alloc_gb,peak_memory_reserved_gb
512,8,512,0,204800,80147.74347861583,2.820307970046997,2.453444004058838,2.931640625
768,8,768,0,307200,79845.42828614464,4.345805644989014,3.600203037261963,3.84375
1536,8,1536,0,614400,71854.60225121597,10.670906066894531,7.020460605621338,8.431640625
2048,8,2048,0,819200,68205.75372715721,15.98501181602478,9.309340000152588,9.330078125
