batch_size,bptt,amp,tokens_processed,effective_throughput_tokens_per_s,wall_time_s,peak_memory_alloc_gb,peak_memory_reserved_gb
8,1024,1,409600,120313.53458434684,4.349240779876709,3.5233774185180664,3.8359375
16,1024,1,819200,323788.0624011065,3.4538016319274902,6.816468238830566,6.916015625
32,1024,1,1638400,301972.8695875938,6.326764106750488,13.396393775939941,13.609375
48,1024,1,2457600,307304.9827640481,8.945432424545288,19.979554176330566,20.306640625
