batch_size,bptt,amp,tokens_processed,effective_throughput_tokens_per_s,wall_time_s,peak_memory_alloc_gb,peak_memory_reserved_gb
8,1024,0,409600,27152.873253421196,16.395421028137207,4.735609531402588,5.66015625
16,1024,0,819200,79961.11934969798,11.195116996765137,9.297621250152588,11.146484375
32,1024,0,1638400,81188.51239017965,21.129190683364868,18.410170078277588,18.43359375
48,1024,0,2457600,81307.65338961789,31.169214963912964,27.531507968902588,27.580078125
