batch_size,bptt,amp,tokens_processed,effective_throughput_tokens_per_s,wall_time_s,peak_memory_alloc_gb,peak_memory_reserved_gb
8,1024,0,409600,78157.88551738822,6.195110321044922,4.737440586090088,5.673828125
8,1024,1,409600,299569.9479183741,2.3008952140808105,3.5237741470336914,3.8515625
