step,lr,ms_per_batch,global_tokens_sec,train_loss,train_ppl,train_acc,val_loss,val_ppl,val_acc,alloc_mem_mb,interval_peak_mem_mb,cumulative_peak_mem_mb,elapsed_time_s,amp,ddp,param_count
300,1.5,264.0756392478943,31021.415013256745,8.338489883740744,4181.77001201585,0.084068603515625,6.796533667284076,894.7404420075987,0.10150463828832199,1705.38623046875,5991.22509765625,5991.22509765625,81.72269415855408,0,0,95069488
600,1.5,261.2826283772786,31353.02201634,6.503032813072204,667.1619453501501,0.12316609700520834,6.372382163466374,585.4508086074951,0.13794232064038303,1705.38623046875,5991.22509765625,5991.22509765625,163.15297102928162,0,0,95069488
900,1.4249999999999998,262.4817379315694,31209.79030600485,6.2303819799423215,507.94947295377506,0.13658284505208335,6.1607447489221,473.78079120952674,0.1503983691179771,1705.38623046875,5991.22509765625,5991.22509765625,244.93977403640747,0,0,95069488
1200,1.3537499999999998,262.9993995030721,31148.36009313515,6.06226113319397,429.3451466874365,0.14591552734375,6.035202457436254,417.88340467735753,0.1559951746839231,1705.38623046875,5991.22509765625,5991.22509765625,326.8837032318115,0,0,95069488
1500,1.2860624999999997,263.4859522183736,31090.841583882924,5.9547411743799845,385.5771005297575,0.15116170247395833,5.937686595579998,379.0570022847732,0.14740124934540286,1705.38623046875,5991.22509765625,5991.22509765625,408.98331212997437,0,0,95069488
1800,1.2217593749999995,263.9603861172994,31034.959906292977,5.880163628260295,357.86779420288156,0.1556982421875,5.818853823562705,336.58604546116635,0.16984457993566246,1705.38623046875,5991.22509765625,5991.22509765625,491.2286036014557,0,0,95069488
2100,1.1606714062499994,263.356294631958,31106.14846494696,5.80809326171875,332.98360739234914,0.16099650065104168,5.759935919327235,317.3279936749877,0.16345290641131144,1705.38623046875,5991.22509765625,5991.22509765625,573.2942509651184,0,0,95069488
2400,1.1026378359374993,265.29468297958374,30878.86989665161,5.727540249824524,307.21267181621454,0.165157470703125,5.705666829539619,300.5658394187298,0.16657159422458293,1705.38623046875,5991.22509765625,5991.22509765625,655.9401936531067,0,0,95069488
2700,1.0475059441406243,264.18660322825116,31008.385360563876,5.661952384312948,287.70981469484883,0.16941243489583332,5.626876963721508,277.7932032620182,0.17622222637839455,1705.38623046875,5991.22509765625,5991.22509765625,738.2394545078278,0,0,95069488
3000,0.995130646933593,263.8791012763977,31044.51985918872,5.61541482925415,274.6272789985785,0.17254109700520834,5.585370304715243,266.4989502877076,0.18152446323034338,1705.38623046875,5991.22509765625,5991.22509765625,820.4655380249023,0,0,95069488
