step,lr,ms_per_batch,global_tokens_sec,train_loss,train_ppl,train_acc,val_loss,val_ppl,val_acc,alloc_mem_mb,interval_peak_mem_mb,cumulative_peak_mem_mb,elapsed_time_s,amp,ddp,param_count
300,1.5,90.10222991307576,68189.21136499391,7.54093686580658,1883.593873482636,0.08808539496527777,6.792693222702562,891.3108307564833,0.12581824642776987,1035.04248046875,3683.77978515625,3683.77978515625,28.196953773498535,0,0,39161136
600,1.5,88.12573194503784,69718.5698705105,6.515341749191284,675.4247479467674,0.1209033203125,6.377810740975655,588.6376157886691,0.14017730231166306,1035.04248046875,3683.52978515625,3683.77978515625,56.0430703163147,0,0,39161136
900,1.4249999999999998,88.29611857732137,69584.03267318786,6.281000491778056,534.3229822409587,0.13166286892361112,6.267105137890721,526.9497209857269,0.11252992444078701,1035.04248046875,3683.52978515625,3683.77978515625,83.93759369850159,0,0,39161136
1200,1.3537499999999998,88.22392463684082,69640.97352606744,6.135036416053772,461.75590904074863,0.1405392795138889,6.056054039811949,426.6884150892664,0.1621951447594823,1035.04248046875,3683.52978515625,3683.77978515625,111.81941986083984,0,0,39161136
1500,1.2860624999999997,88.20820252100627,69653.38624304063,6.010384432474772,407.6400002096406,0.14916666666666667,5.966368758741756,390.08659726383485,0.1625317947183362,1035.04248046875,3683.52978515625,3683.77978515625,139.68994808197021,0,0,39161136
1800,1.2217593749999995,88.30777645111084,69574.84659803948,5.9174178568522136,371.4513339738416,0.1550314670138889,5.8601340314717145,350.7711552435236,0.16476210069574324,1035.04248046875,3683.52978515625,3683.77978515625,167.60051798820496,0,0,39161136
2100,1.1606714062499994,88.13912868499756,69707.9729703045,5.846621022224427,346.0630632660552,0.16044759114583335,5.796797074099401,329.2433273145928,0.17418829954365228,1035.04248046875,3683.52978515625,3683.77978515625,195.45408582687378,0,0,39161136
2400,1.1026378359374993,88.2894778251648,69589.26648276993,5.781201430956522,324.1483984875643,0.16583875868055556,5.749008681660522,313.87935165053375,0.1741508939926685,1035.04248046875,3683.52978515625,3683.77978515625,223.34966731071472,0,0,39161136
2700,1.0475059441406243,88.50717862447102,69418.09800613469,5.724712300300598,306.3451171657626,0.17145345052083333,5.644312747817768,282.67921754146187,0.18260454851499963,1035.04248046875,3683.52978515625,3683.77978515625,251.30916023254395,0,0,39161136
3000,0.995130646933593,88.82571776707967,69169.15679883277,5.666366732915242,288.9826734674252,0.17531195746527778,5.595808659618666,269.2953303249264,0.1851340989002768,1035.04248046875,3683.52978515625,3683.77978515625,279.38900685310364,0,0,39161136
