step,lr,ms_per_batch,global_tokens_sec,train_loss,train_ppl,train_acc,val_loss,val_ppl,val_acc,alloc_mem_mb,interval_peak_mem_mb,cumulative_peak_mem_mb,elapsed_time_s,amp,ddp
300,1.5,151.38785362243652,162337.99087536373,7.542623306910197,1886.7731236689904,0.08846476236979167,6.782758671851952,882.4998967867775,0.10306164434802124,1420.44091796875,4165.21484375,4165.21484375,46.575576305389404,0,1
600,1.5,149.0735681851705,164858.19920452381,6.484718861579895,655.0547772841106,0.122666015625,6.388947185514359,595.2295833628781,0.11140775791127404,1420.44091796875,4165.21484375,4165.21484375,92.69501829147339,0,1
900,1.4249999999999998,149.11807537078857,164808.99407325845,6.254137554168701,520.1605709347466,0.134385986328125,6.20771800919675,496.56679650859417,0.13176572903418868,1420.44091796875,4165.21484375,4165.21484375,138.82568788528442,0,1
1200,1.3537499999999998,149.24501975377402,164668.81133149864,6.101467653910319,446.51261540783076,0.1430859375,6.006100601770762,405.8974744679839,0.16502861524650259,1420.44091796875,4165.21484375,4165.21484375,185.00188159942627,0,1
1500,1.2860624999999997,149.13977225621542,164785.01762614696,5.986894567807515,398.17617886639107,0.14984212239583333,5.996613954654082,402.0650754127019,0.1398172738834443,1420.44091796875,4165.21484375,4165.21484375,231.13785815238953,0,1
1800,1.2217593749999995,149.09035523732504,164839.63674832907,5.890449190139771,361.5676605286411,0.15563761393229167,5.794511559211638,328.49169604772754,0.1688767113039575,1420.44091796875,4165.21484375,4165.21484375,277.28794622421265,0,1
2100,1.1606714062499994,149.25835371017456,164654.10068585473,5.80374759833018,331.53971233396004,0.16092244466145833,5.760502770298963,317.50792234811246,0.17048514999625944,1420.44091796875,4165.21484375,4165.21484375,323.47797441482544,0,1
2400,1.1026378359374993,149.3064077695211,164601.10699292348,5.729036367734273,307.67264219578345,0.16551188151041665,5.645878489768219,283.12216693261627,0.17203748036208574,1420.44091796875,4165.21484375,4165.21484375,369.6699333190918,0,1
2700,1.0475059441406243,149.2551382382711,164657.64790466943,5.67588960647583,291.7477638350186,0.170762939453125,5.612845276327241,273.92251552131927,0.16730567816263933,1420.44091796875,4165.21484375,4165.21484375,415.843314409256,0,1
3000,0.995130646933593,149.29081360499063,164618.30039339038,5.6221094290415445,276.4719665550928,0.17502400716145833,5.540414066868338,254.7834750156848,0.1705880152614648,1420.44091796875,4165.21484375,4165.21484375,462.0239346027374,0,1
