step,lr,ms_per_batch,global_tokens_sec,train_loss,train_ppl,train_acc,val_loss,val_ppl,val_acc,alloc_mem_mb,interval_peak_mem_mb,cumulative_peak_mem_mb,elapsed_time_s,amp,ddp
300,1.5,136.55623197555542,59989.93880752677,7.505919060707092,1818.7760624873674,0.089942626953125,6.793749268003058,892.2525925546219,0.10743341811924889,1269.68310546875,4015.82666015625,4015.82666015625,42.126720905303955,0,0
600,1.5,135.42554060618082,60490.805230177655,6.514775482813517,675.0423858908988,0.119736328125,6.375869878114113,587.4962588681933,0.13343027605296626,1269.68310546875,4015.82666015625,4015.82666015625,84.14890623092651,0,0
900,1.4249999999999998,135.51253398259482,60451.97266440445,6.274762217203776,531.0001040557456,0.132432861328125,6.182469094264228,484.18598249682856,0.1576924515598115,1269.68310546875,4015.82666015625,4015.82666015625,126.20450210571289,0,0
1200,1.3537499999999998,135.45312722524008,60478.485567762655,6.114616009394328,452.42228810393766,0.143045654296875,6.088707798071501,440.8513739281231,0.15296064936036508,1269.68310546875,4015.82666015625,4015.82666015625,168.23047018051147,0,0
1500,1.2860624999999997,135.5264711380005,60445.75595610732,6.0097970803578695,407.40064229315414,0.14745402018229167,5.971806159575608,392.21343143798447,0.16216241490237152,1269.68310546875,4015.82666015625,4015.82666015625,210.27780270576477,0,0
1800,1.2217593749999995,135.5397343635559,60439.841043414905,5.9304801305135095,376.3351604481286,0.15306722005208334,5.914973947562552,370.54464898729555,0.1431416922271265,1269.68310546875,4015.82666015625,4015.82666015625,252.31631875038147,0,0
2100,1.1606714062499994,135.37755250930786,60512.24777044747,5.858815809885661,350.30906576999064,0.15904093424479165,5.801161755956868,330.6835103761113,0.16731970524425824,1269.68310546875,4015.82666015625,4015.82666015625,294.3273820877075,0,0
2400,1.1026378359374993,135.4297637939453,60488.918909022286,5.778377587000529,323.23434517101254,0.16211100260416667,5.743742817063744,312.23084968839714,0.16285441759557118,1269.68310546875,4015.82666015625,4015.82666015625,336.35632514953613,0,0
2700,1.0475059441406243,135.40311098098755,60500.82557667577,5.711258770624797,302.25129397428054,0.16719197591145835,5.665135809787863,288.62717685063234,0.17595571182763522,1269.68310546875,4015.82666015625,4015.82666015625,378.373078584671,0,0
3000,0.995130646933593,135.34460306167603,60526.97938954342,5.664240123430888,288.36877316767726,0.17033935546875,5.622949604821507,276.7043492127014,0.17597909029700007,1269.68310546875,4015.82666015625,4015.82666015625,420.37533497810364,0,0
